3
48,50
-2.43053,1.98994,0.117922
-1.80046,2.34412,0.0361216
-1.97403,2.0112,0.390434
-2.40334,1.73416,-0.335379
-1.6264,1.60107,-0.142802
-2.54859,2.18224,0.388408
-1.57878,1.59565,0.3535
-2.38726,1.84532,-0.328836
-1.68773,2.24214,-0.180746
-1.77002,2.02437,0.3291
-1.77292,2.15169,-0.107352
-2.05774,1.90907,-0.189627
-2.42436,1.49289,0.395176
-2.43667,1.64739,-0.297054
-2.17479,1.57884,-0.122377
-1.72033,1.58809,-0.366528
-1.73466,1.56716,-0.197275
-1.7839,1.73774,0.221648
-2.51548,1.60785,0.0373943
-2.09897,2.39568,-0.364629
-2.17261,2.1806,0.360663
-1.6827,1.6807,-0.156661
-2.27507,1.81418,-0.0901683
-2.28263,1.93535,0.130828
-1.98242,2.31841,0.283271
-2.50754,2.15592,-0.55503
-2.27681,1.9791,-0.414264
-1.87683,1.75304,-0.10292
-2.05792,1.7954,0.078536
-2.42326,2.25428,0.0478195
-2.19063,1.63952,-0.197978
-2.23271,1.51466,0.0563234
-1.79211,1.79744,-0.555893
-2.28502,2.07265,-0.0469355
-2.55693,1.64807,-0.154923
-1.6764,1.69837,-0.425397
-1.63417,1.97941,0.127308
-1.84378,2.03022,-0.208224
-1.99121,2.03824,-0.56107
-1.51335,1.7484,-0.322818
-1.98202,1.6096,-0.363139
-2.29007,2.24831,-0.0781562
-1.9896,2.44842,0.118208
-1.6767,1.88453,-0.137537
-1.62081,1.80441,0.0687194
-1.47687,1.7228,-0.630417
-1.76261,2.06143,0.261588
-1.93037,2.49531,-0.516713
-2.09411,1.84789,-0.00869096
-1.94695,1.67831,0.209491
-1.56155,2.04007,0.288867
-2.21646,2.09377,0.00695722
-1.58639,2.44795,-0.0748431
-1.75996,2.11502,0.279469
-2.18927,1.83799,-0.446344
-1.41233,1.7049,-0.253767
-2.33452,2.28607,0.277443
-1.36471,1.69947,0.242536
-2.1732,1.94914,-0.439801
-1.47367,2.34597,-0.291711
-1.55595,2.1282,0.218135
-1.55886,2.25551,-0.218317
-1.84368,2.0129,-0.300591
-2.2103,1.59671,0.284211
-2.2226,1.75122,-0.408018
-1.96072,1.68266,-0.233342
-1.50627,1.69192,-0.477493
-1.5206,1.67099,-0.308239
-1.56984,1.84157,0.110683
-2.30141,1.71168,-0.0735704
-1.8849,2.4995,-0.475594
-1.95854,2.28442,0.249698
-1.46863,1.78452,-0.267626
-2.061,1.918,-0.201133
-2.06857,2.03918,0.0198632
-1.76836,2.42223,0.172307
-2.29348,2.25975,-0.665995
-2.06274,2.08293,-0.525229
-1.66276,1.85687,-0.213885
-1.84385,1.89923,-0.0324287
-2.2092,2.35811,-0.0631452
-1.97657,1.74335,-0.308943
-2.01865,1.61849,-0.0546413
-1.57805,1.90127,-0.666858
-2.07096,2.17648,-0.1579
-2.34287,1.7519,-0.265887
-1.46234,1.8022,-0.536362
-1.42011,2.08323,0.0163437
