3
72,25
-2.66884,1.51779,0.121857
-2.62163,2.17584,-0.475813
-3.44938,1.96527,0.186466
-2.51195,1.77278,-0.280886
-2.90712,1.89692,0.293048
-2.78312,1.70463,-0.0407715
-2.36909,1.65267,0.220324
-2.46586,1.32967,-0.409399
-3.02317,1.96981,-0.522678
-2.41275,1.87205,-0.224152
-3.24184,1.47164,0.218103
-2.6993,2.17777,-0.27874
-2.37812,1.35668,0.0264863
-2.42972,2.18262,0.263886
-3.22512,1.61571,0.166719
-2.93962,1.87567,0.0584075
-2.38617,1.7897,-0.493558
-2.62507,1.60696,-0.368521
-2.4937,1.86691,0.396655
-2.4756,1.73728,0.0640656
-3.15898,1.77857,0.331072
-2.40011,1.3624,0.304204
-3.13808,1.26739,0.456252
-2.57082,2.12079,0.434235
-2.76616,2.17879,-0.154685
-3.05867,1.52229,-0.483649
-2.45949,1.41925,0.101421
-2.41228,2.0773,-0.496249
-3.24003,1.86672,0.16603
-2.3026,1.67424,-0.301322
-2.69777,1.79838,0.272612
-2.69247,1.50583,0.138666
-2.27844,1.45386,0.399762
-2.37521,1.13086,-0.229961
-2.93253,1.771,-0.34324
-2.32211,1.67324,-0.0447143
-3.15119,1.27283,0.397541
-2.60865,1.97896,-0.0993019
-2.28748,1.15787,0.205924
-2.33908,1.98381,0.443324
-3.13447,1.41691,0.346156
-2.84898,1.67686,0.237845
-2.29552,1.5909,-0.31412
-2.53442,1.40816,-0.189083
-2.40305,1.6681,0.576093
-2.38496,1.53847,0.243504
-3.06834,1.57976,0.51051
-2.30946,1.16359,0.483642
-3.04743,1.06858,0.63569
-2.48017,1.92198,0.613673
-2.67552,1.97999,0.0247529
-2.96803,1.32348,-0.304211
-2.36885,1.22044,0.280859
-2.32163,1.87849,-0.316811
-3.14938,1.66792,0.345468
-2.21196,1.47543,-0.121884
-2.60712,1.59957,0.45205
-2.59421,1.56956,0.103197
-2.18018,1.51759,0.364292
-2.27695,1.19459,-0.265431
-2.83426,1.83473,-0.37871
-2.22384,1.73697,-0.0801841
-3.05293,1.33656,0.362071
-2.51039,2.04269,-0.134772
-2.18922,1.22161,0.170454
-2.24081,2.04754,0.407854
-3.03621,1.48064,0.310687
-2.75072,1.74059,0.202376
-2.19726,1.65463,-0.34959
-2.43616,1.47189,-0.224553
-2.30479,1.73184,0.540623
-2.2867,1.60221,0.208034
-2.97008,1.64349,0.47504
-2.2112,1.22732,0.448172
-2.94917,1.13231,0.60022
-2.38191,1.98571,0.578203
-2.57725,2.04372,-0.0107169
-2.86976,1.38722,-0.339681
-2.27059,1.28417,0.245389
-2.22337,1.94222,-0.352281
-3.05112,1.73165,0.309998
-2.1137,1.53916,-0.157354
-2.50886,1.6633,0.416581
-2.45414,1.67182,0.245962
-2.04011,1.61985,0.507058
-2.13688,1.29685,-0.122666
-2.69419,1.93699,-0.235944
-2.08377,1.83923,0.0625813
-2.91285,1.43882,0.504837
-2.37031,2.14495,0.00799364
-2.04914,1.32386,0.31322
-2.10074,2.1498,0.550619
-2.89614,1.5829,0.453452
-2.61064,1.84285,0.345141
-2.05718,1.75689,-0.206824
-2.29609,1.57415,-0.0817879
-2.16472,1.8341,0.683388
-2.14662,1.70446,0.350799
-2.83,1.74575,0.617806
-2.07113,1.32958,0.590938
-2.8091,1.23457,0.742985
-2.24184,2.08797,0.720969
-2.43718,2.14598,0.132048
