3
82,50
-2.86668,1.89998,0.111174
-1.9361,2.29489,0.139986
-2.44038,2.22182,0.639161
-2.38113,2.26017,0.70957
-2.33173,1.98837,0.654694
-2.59144,1.63219,0.628293
-2.8312,1.74576,-0.0115523
-2.06867,1.52947,0.657612
-2.07129,1.65575,-0.010887
-2.26056,2.38849,0.227019
-2.01979,2.41464,0.69028
-2.75737,2.37137,0.548452
-2.46615,1.82382,0.333552
-2.67575,2.33552,0.156998
-2.81494,1.89662,0.708644
-2.009,2.19801,-0.0958904
-2.22947,2.25964,0.213151
-2.08978,2.0838,0.305895
-2.28093,1.90534,0.524923
-2.14057,1.53761,0.476689
-2.76231,2.41065,0.454607
-1.92079,1.54611,0.389259
-2.24581,2.03316,0.21164
-1.74741,2.11256,-0.187491
-2.3192,2.1116,0.0151231
-2.04506,1.75893,-0.1346
-2.41677,2.0873,0.0697208
-1.76347,1.73353,0.634094
-2.51325,2.20562,0.0649673
-2.16732,1.79704,-0.0442918
-2.1291,2.22012,0.0305912
-2.15422,2.17033,-0.118804
-2.73864,2.0983,0.243656
-2.27545,2.0967,-0.176941
-2.17458,2.52331,0.401495
-1.8711,2.22406,0.62726
-2.71734,1.55311,0.181397
-2.35926,1.53545,0.381767
-2.4368,1.76801,0.0542207
-2.08347,2.34651,0.318096
-1.83941,1.96321,0.00505246
-2.52046,1.5548,0.642223
-2.3509,1.56197,0.207356
-1.81888,2.03234,-0.229108
-2.70747,1.60357,-0.238964
-2.01761,2.47829,0.451935
-2.10199,2.50676,0.47188
-2.63224,1.89332,0.474169
-1.96211,2.20233,0.709022
-2.61953,1.86466,0.522365
-2.01307,1.77107,-0.0475845
-2.71966,1.99642,-0.0259454
-1.78908,2.39133,0.00286631
-2.29336,2.31826,0.502042
-2.23411,2.35661,0.572451
-2.18471,2.08481,0.517575
-2.44442,1.72863,0.491174
-2.68418,1.8422,-0.148672
-1.92165,1.62591,0.520493
-1.92427,1.75219,-0.148006
-2.11355,2.48493,0.0898994
-1.87277,2.51108,0.55316
-2.61036,2.46781,0.411333
-2.31913,1.92026,0.196433
-2.52873,2.43196,0.0198786
-2.66792,1.99306,0.571525
-1.86198,2.29445,-0.23301
-2.08245,2.35608,0.0760318
-1.94276,2.18024,0.168776
-2.13391,2.00178,0.387804
-1.99356,1.63405,0.33957
-2.6153,2.50709,0.317488
-1.77378,1.64255,0.25214
-2.13071,1.9632,0.316963
-1.6323,2.04261,-0.0821687
-2.2041,2.04164,0.120446
-1.92995,1.68897,-0.0292775
-2.30166,2.01734,0.175043
-1.64836,1.66357,0.739417
-2.39814,2.13566,0.17029
-2.05222,1.72708,0.0610308
-2.014,2.15016,0.135914
-2.03912,2.10037,-0.0134812
-2.62353,2.02834,0.348979
-2.16034,2.02674,-0.0716187
-2.05947,2.45335,0.506817
-1.75599,2.1541,0.732582
-2.60223,1.48315,0.286719
-2.24415,1.46549,0.48709
-2.3217,1.69806,0.159543
-1.96837,2.27655,0.423419
-1.7243,1.89325,0.110375
-2.40535,1.48484,0.747545
-2.2358,1.49201,0.312679
-1.70378,1.96238,-0.123786
-2.59236,1.53361,-0.133642
-1.90251,2.40833,0.557258
-1.98689,2.4368,0.577202
-2.51713,1.82336,0.579492
-1.847,2.13237,0.814344
-2.50442,1.7947,0.627687
-1.89797,1.70111,0.0577381
-2.60456,1.92646,0.0793772
-1.67397,2.32138,0.108189
-2.17826,2.2483,0.607365
-2.11901,2.28665,0.677773
-2.06961,2.01485,0.622897
-2.32932,1.65867,0.596496
-2.56908,1.77224,-0.0433489
-1.80655,1.55595,0.625815
-1.80917,1.68223,-0.0426836
-1.99844,2.41497,0.195222
-1.75767,2.44112,0.658483
-2.49525,2.39785,0.516655
-2.20403,1.8503,0.301755
-2.41362,2.36201,0.125201
-2.55281,1.9231,0.676847
-1.74688,2.22449,-0.127687
-1.96735,2.28612,0.181354
-1.82766,2.11028,0.274099
-2.01881,1.93183,0.493126
-1.87845,1.56409,0.444893
